Date	    Berlin	London	New York Source
Jan-03-2022	1,13496	1,15427	1,09944 Internet
Jan-04-2022	1,12925	1,17415	1,13930 Internet
Jan-05-2022	1,13069	1,15397	1,11301 Internet
Jan-06-2022	1,13122	1,14350	1,10432 Internet
Jan-07-2022	1,12996	1,12061	1,09349 Internet
Jan-10-2022	1,13163	1,14247	1,18068 Internet
Jan-11-2022	1,13302	1,10804	1,13149 Internet
Jan-12-2022	1,13597	1,18073	1,15016 Internet
Jan-13-2022	1,14623	1,11972	1,18632 Internet
Jan-14-2022	1,14490	1,18795	1,15780 Internet
Jan-17-2022	1,14163	1,14474	1,13378 Internet
Jan-18-2022	1,13746	1,14367	1,10401 Internet
Jan-19-2022	1,13541	1,16743	1,15288 Internet
Jan-20-2022	1,13364	1,11849	1,14332 Internet
Jan-21-2022	1,13451	1,14631	1,13261 Internet
Jan-24-2022	1,13121	1,13682	1,13936 Internet
Jan-25-2022	1,12749	1,13689	1,12851 Internet
Jan-26-2022	1,12743	1,10130	1,12532 Internet
Jan-27-2022	1,11887	1,07630	1,13057 Internet
Jan-28-2022	1,11422	1,16011	1,11610 Internet
Jan-31-2022	1,11481	1,12388	1,10525 Internet
Feb-01-2022	1,12333	1,08360	1,11845 Internet
Feb-02-2022	1,13223	1,16879	1,09268 Internet
Feb-03-2022	1,12944	1,13852	1,15201 Internet
Feb-04-2022	1,14195	1,17608	1,14413 Internet
Feb-07-2022	1,14514	1,17795	1,14177 Internet
Feb-08-2022	1,14074	1,17782	1,14106 Internet
Feb-09-2022	1,14299	1,09400	1,12070 Internet
Feb-10-2022	1,14374	1,16988	1,10382 Internet
Feb-11-2022	1,14211	1,13631	1,12043 Internet
Feb-14-2022	1,13378	1,10744	1,15281 Internet
Feb-15-2022	1,13443	1,08498	1,15481 Internet
Feb-16-2022	1,13634	1,15725	1,13139 Internet
Feb-17-2022	1,13685	1,13334	1,13810 Internet
Feb-18-2022	1,13592	1,08840	1,15637 Internet
Feb-21-2022	1,13480	1,13414	1,10001 Internet
Feb-22-2022	1,13414	1,13727	1,14422 Internet
Feb-23-2022	1,13433	1,16282	1,08987 Internet
Feb-24-2022	1,12058	1,08019	1,14745 Internet
Feb-25-2022	1,12153	1,13053	1,10457 Internet
Feb-28-2022	1,12330	1,12993	1,16493 Internet
Mar-01-2022	1,12049	1,16748	1,09285 Internet
Mar-02-2022	1,11053	1,12887	1,15096 Internet
Mar-03-2022	1,10756	1,11089	1,15011 Internet
Mar-04-2022	1,09283	1,08531	1,11913 Internet
Mar-07-2022	1,09028	1,10244	1,08824 Internet
Mar-08-2022	1,08915	1,05319	1,05547 Internet
Mar-09-2022	1,09923	1,14128	1,05582 Internet
Mar-10-2022	1,10833	1,05985	1,14722 Internet
Mar-11-2022	1,09895	1,14404	1,09649 Internet
Mar-14-2022	1,09669	1,11158	1,12315 Internet
Mar-15-2022	1,09905	1,05699	1,12365 Internet
Mar-16-2022	1,09933	1,12899	1,06689 Internet
Mar-17-2022	1,10503	1,13161	1,07598 Internet
Mar-18-2022	1,10074	1,06651	1,15021 Internet
Mar-21-2022	1,10373	1,08428	1,13507 Internet
Mar-22-2022	1,10235	1,10471	1,06379 Internet
Mar-23-2022	1,09844	1,13303	1,13583 Internet
Mar-24-2022	1,09773	1,14255	1,10162 Internet
Mar-25-2022	1,10013	1,10587	1,05670 Internet
Mar-28-2022	1,09653	1,12125	1,09004 Internet
Mar-29-2022	1,10846	1,10022	1,07342 Internet
Mar-30-2022	1,11254	1,11589	1,12046 Internet
Mar-31-2022	1,11003	1,15037	1,08616 Internet
Apr-01-2022	1,10515	1,12254	1,06639 Internet
Apr-04-2022	1,10163	1,13219	1,15131 Internet
Apr-05-2022	1,09684	1,09824	1,08934 Internet
Apr-06-2022	1,09223	1,04699	1,05252 Internet
Apr-07-2022	1,09155	1,09250	1,12705 Internet
Apr-08-2022	1,08605	1,07219	1,08581 Internet
Apr-11-2022	1,08995	1,10920	1,12008 Internet
Apr-12-2022	1,08603	1,10287	1,07511 Internet
Apr-13-2022	1,08256	1,08341	1,07604 Internet
Apr-14-2022	1,08773	1,13549	1,13405 Internet
Apr-18-2022	1,08773	1,08483	1,04931 Internet
Apr-19-2022	1,08023	1,12768	1,05928 Internet
Apr-20-2022	1,08294	1,03839	1,04257 Internet
Apr-21-2022	1,08865	1,04824	1,12864 Internet
Apr-22-2022	1,08163	1,13031	1,07572 Internet
Apr-25-2022	1,07453	1,05816	1,08516 Internet
Apr-26-2022	1,06734	1,08283	1,04299 Internet
Apr-27-2022	1,05825	1,07352	1,08259 Internet
Apr-28-2022	1,04843	1,03172	1,01865 Internet
Apr-29-2022	1,05393	1,04534	1,09979 Internet
May-02-2022	1,05234	1,09720	1,01825 Internet
May-03-2022	1,05554	1,01155	1,07231 Internet
May-04-2022	1,05306	1,10239	1,05553 Internet
May-05-2022	1,05675	1,10437	1,09811 Internet
May-06-2022	1,05695	1,02984	1,02125 Internet
May-09-2022	1,05584	1,04326	1,04659 Internet
May-10-2022	1,05535	1,08778	1,08186 Internet
May-11-2022	1,05525	1,10521	1,06751 Internet
May-12-2022	1,04073	1,08448	1,08212 Internet
May-13-2022	1,03845	0,99286	1,05007 Internet
May-16-2022	1,04121	1,09015	1,03435 Internet
May-17-2022	1,05403	1,01215	1,07836 Internet
May-18-2022	1,05225	1,05324	1,06988 Internet
May-19-2022	1,05243	1,04836	1,03419 Internet
May-20-2022	1,05765	1,06724	1,05771 Internet
May-23-2022	1,06583	1,02580	1,03025 Internet
May-24-2022	1,07193	1,11190	1,11589 Internet
May-25-2022	1,06698	1,03997	1,08733 Internet
May-26-2022	1,06867	1,11629	1,06370 Internet
May-27-2022	1,07171	1,04772	1,04500 Internet
May-30-2022	1,07439	1,07794	1,08586 Internet
May-31-2022	1,07262	1,04075	1,07417 Internet
Jun-01-2022	1,07112	1,05837	1,05664 Internet
Jun-02-2022	1,06952	1,08297	1,02567 Internet
Jun-03-2022	1,06952	1,05866	1,11777 Internet
Jun-06-2022	1,07262	1,10675	1,08590 Internet
Jun-07-2022	1,06784	1,05687	1,08119 Internet
Jun-08-2022	1,07190	1,09249	1,10868 Internet
Jun-09-2022	1,07403	1,07108	1,04282 Internet
Jun-10-2022	1,06399	1,07076	1,07167 Internet
Jun-13-2022	1,04839	1,02818	1,05018 Internet
Jun-14-2022	1,04515	1,05765	1,00569 Internet
Jun-15-2022	1,04347	1,03100	1,02227 Internet
Jun-16-2022	1,04141	1,02471	0,99644 Internet
Jun-17-2022	1,04607	1,04119	1,07324 Internet
Jun-20-2022	1,05075	1,03050	1,00309 Internet
Jun-21-2022	1,05436	1,05640	1,03202 Internet
Jun-22-2022	1,05273	1,08112	1,07165 Internet
Jun-23-2022	1,04974	1,06242	1,04346 Internet
Jun-24-2022	1,05189	1,01562	1,09976 Internet
Jun-27-2022	1,05575	1,07122	1,03702 Internet
Jun-28-2022	1,05617	1,05530	1,01448 Internet
Jun-29-2022	1,05163	1,07456	1,08016 Internet
Jun-30-2022	1,03864	1,00860	1,06344 Internet
Jul-01-2022	1,04163	1,08437	1,07059 Internet
Jul-05-2022	1,02894	1,02671	1,03859 Internet
Jul-06-2022	1,01765	1,00430	1,02119 Internet
Jul-07-2022	1,01820	0,98729	1,04323 Internet
Jul-08-2022	1,01691	0,97409	0,97259 Internet
Jul-11-2022	1,01109	1,00214	0,97377 Internet
Jul-12-2022	1,00529	1,04584	0,98685 Internet
Jul-13-2022	1,00592	0,96505	1,01225 Internet
Jul-14-2022	1,00198	0,97579	0,98335 Internet
Jul-15-2022	1,00410	1,01574	1,04142 Internet
Jul-18-2022	1,01305	1,04024	0,96673 Internet
Jul-19-2022	1,02181	1,02317	1,00680 Internet
Jul-20-2022	1,02122	1,00535	1,02210 Internet
Jul-21-2022	1,01985	1,01430	1,02128 Internet
Jul-22-2022	1,01893	1,01274	0,98661 Internet
Jul-25-2022	1,02354	1,06467	0,98625 Internet
Jul-26-2022	1,01236	0,96791	0,99547 Internet
Jul-27-2022	1,01514	1,04916	1,05092 Internet
Jul-28-2022	1,01289	0,99735	1,04825 Internet
Jul-29-2022	1,01976	1,05542	1,06087 Internet
Aug-01-2022	1,02266	1,05402	1,05272 Internet
Aug-02-2022	1,02252	0,97357	1,02718 Internet
Aug-03-2022	1,02005	1,06614	1,02021 Internet
Aug-04-2022	1,01818	0,99722	1,06325 Internet
Aug-05-2022	1,02325	1,07071	0,98059 Internet
Aug-08-2022	1,02067	1,03004	0,98575 Internet
Aug-09-2022	1,02245	1,05925	1,06409 Internet
Aug-10-2022	1,02440	1,01931	0,99793 Internet
Aug-11-2022	1,03171	0,99133	1,05798 Internet
Aug-12-2022	1,02843	1,04585	1,04844 Internet
Aug-15-2022	1,01945	0,99425	0,99130 Internet
Aug-16-2022	1,01463	1,01829	0,96874 Internet
Aug-17-2022	1,01541	1,00717	0,97334 Internet
Aug-18-2022	1,01743	1,04592	0,99141 Internet
Aug-19-2022	1,00534	1,02140	0,98679 Internet
Aug-22-2022	1,00121	1,01485	0,97645 Internet
Aug-23-2022	0,99446	1,02083	1,03840 Internet
Aug-24-2022	0,99313	0,98684	1,01585 Internet
Aug-25-2022	0,99695	0,98658	0,98827 Internet
Aug-26-2022	0,99986	0,97935	0,96132 Internet
Aug-29-2022	0,99875	1,00624	1,03305 Internet
Aug-30-2022	1,00334	1,02525	0,99780 Internet
Aug-31-2022	1,00053	1,03966	0,95214 Internet
Sep-01-2022	1,00026	0,98215	0,98801 Internet
Sep-02-2022	0,99952	0,99929	1,04037 Internet
Sep-05-2022	0,99428	0,96238	0,94854 Internet
Sep-06-2022	0,99243	1,01008	0,96411 Internet
Sep-07-2022	0,98940	1,00435	0,93981 Internet
Sep-08-2022	0,99765	1,00881	0,98842 Internet
Sep-09-2022	1,00416	0,99878	1,00968 Internet
Sep-12-2022	1,01252	0,96369	1,01218 Internet
Sep-13-2022	1,01669	1,01560	0,97144 Internet
Sep-14-2022	1,00356	0,98111	1,01955 Internet
Sep-15-2022	0,99918	0,97617	1,01725 Internet
Sep-16-2022	0,99613	0,99605	0,95563 Internet
Sep-19-2022	0,99845	0,99500	1,01863 Internet
Sep-20-2022	0,99848	1,02263	1,00485 Internet
Sep-21-2022	0,99260	0,96464	0,97354 Internet
Sep-22-2022	0,98878	0,97460	1,00806 Internet
Sep-23-2022	0,97536	0,94749	1,00228 Internet
Sep-26-2022	0,96455	0,93386	1,00676 Internet
Sep-27-2022	0,96414	0,92049	0,99229 Internet
Sep-28-2022	0,95645	0,91964	0,99268 Internet
Sep-29-2022	0,96697	0,98096	0,95515 Internet
Sep-30-2022	0,97417	1,02334	1,01722 Internet
Oct-03-2022	0,97634	0,96534	0,94491 Internet
Oct-04-2022	0,98585	1,00291	1,00733 Internet
Oct-05-2022	0,99084	0,96315	0,98536 Internet
Oct-06-2022	0,98595	0,96012	1,00886 Internet
Oct-07-2022	0,98136	1,01767	1,00938 Internet
Oct-10-2022	0,97270	0,93206	0,99743 Internet
Oct-11-2022	0,97159	1,01804	0,98112 Internet
Oct-12-2022	0,97055	0,94047	1,01587 Internet
Oct-13-2022	0,97309	0,92605	1,02208 Internet
Oct-14-2022	0,97164	0,98673	0,93691 Internet
Oct-17-2022	0,97330	0,96420	0,93317 Internet
Oct-18-2022	0,98106	0,93427	0,97174 Internet
Oct-19-2022	0,97903	0,98803	1,00440 Internet
Oct-20-2022	0,98025	0,93061	0,96322 Internet
Oct-21-2022	0,97502	0,98688	0,94816 Internet
Oct-24-2022	0,98506	0,97644	1,02647 Internet
Oct-25-2022	0,98606	1,00789	0,95880 Internet
Oct-26-2022	0,99828	0,95933	0,95160 Internet
Oct-27-2022	1,00364	1,04493	0,97526 Internet
Oct-28-2022	0,99506	1,01641	1,04414 Internet
Oct-31-2022	0,99135	0,95316	0,95482 Internet
Nov-01-2022	0,99369	0,95590	0,98354 Internet
Nov-02-2022	0,99073	1,02235	0,96154 Internet
Nov-03-2022	0,97900	0,93228	1,00073 Internet
Nov-04-2022	0,98280	0,93881	1,01282 Internet
Nov-07-2022	0,99536	0,97501	1,01488 Internet
Nov-08-2022	0,99923	1,02419	1,03077 Internet
Nov-09-2022	1,00267	0,97129	1,03845 Internet
Nov-10-2022	0,99773	1,03939	1,03338 Internet
Nov-14-2022	1,03154	1,04659	1,05547 Internet
Nov-15-2022	1,03839	1,00652	1,02720 Internet
Nov-16-2022	1,04115	1,06418	1,06691 Internet
Nov-17-2022	1,03509	1,00377	1,05552 Internet
Nov-18-2022	1,03656	1,05176	1,07157 Internet
Nov-21-2022	1,02742	0,98513	0,99955 Internet
Nov-22-2022	1,02651	1,05779	1,04242 Internet
Nov-23-2022	1,03104	1,00952	1,05743 Internet
Nov-24-2022	1,03821	1,04846	1,07935 Internet
Nov-28-2022	1,04625	1,04668	1,04693 Internet
Nov-29-2022	1,03923	1,03718	1,03729 Internet
Nov-30-2022	1,03747	1,07693	1,07409 Internet
Dec-01-2022	1,04321	1,02714	1,05302 Internet
Dec-02-2022	1,05147	1,09351	1,07779 Internet
Dec-05-2022	1,05743	1,10387	1,08233 Internet
Dec-06-2022	1,05409	1,06839	1,10237 Internet
Dec-07-2022	1,05274	1,05491	1,00864 Internet
Dec-08-2022	1,05222	1,03829	1,04175 Internet
Dec-09-2022	1,05482	1,01642	1,00984 Internet
Dec-12-2022	1,05598	1,08161	1,06584 Internet
Dec-13-2022	1,05471	1,04835	1,05064 Internet
Dec-14-2022	1,06233	1,01355	1,02066 Internet
Dec-15-2022	1,06263	1,02259	1,04237 Internet
Dec-16-2022	1,06185	1,10287	1,07885 Internet
Dec-19-2022	1,06031	1,08122	1,06627 Internet
Dec-20-2022	1,06004	1,08060	1,09684 Internet
Dec-21-2022	1,06299	1,03642	1,04535 Internet
Dec-22-2022	1,06314	1,04045	1,04132 Internet
Dec-23-2022	1,06252	1,06948	1,10385 Internet
Dec-26-2022	1,06190	1,06660	1,08584 Internet
Dec-27-2022	1,06227	1,10292	1,07453 Internet
Dec-28-2022	1,06395	1,05765	1,02152 Internet
Dec-29-2022	1,06485	1,08020	1,06438 Internet
Dec-30-2022	1,06605	1,10893	1,02284 Internet
