Дата;Курс Евро
03.01.2022;1,12956
04.01.2022;1,14757
05.01.2022;1,13256
06.01.2022;1,12635
07.01.2022;1,11469
10.01.2022;1,15159
11.01.2022;1,12418
12.01.2022;1,15562
13.01.2022;1,15076
14.01.2022;1,16355
17.01.2022;1,14005
18.01.2022;1,12838
19.01.2022;1,15191
20.01.2022;1,13182
21.01.2022;1,13781
24.01.2022;1,1358
25.01.2022;1,13096
26.01.2022;1,11802
27.01.2022;1,10858
28.01.2022;1,13014
31.01.2022;1,11465
01.02.2022;1,10846
02.02.2022;1,13123
03.02.2022;1,13999
04.02.2022;1,15405
07.02.2022;1,15495
08.02.2022;1,15321
09.02.2022;1,11923
10.02.2022;1,13915
11.02.2022;1,13295
14.02.2022;1,13134
15.02.2022;1,12474
16.02.2022;1,14166
17.02.2022;1,1361
18.02.2022;1,1269
21.02.2022;1,12298
22.02.2022;1,13854
23.02.2022;1,12901
24.02.2022;1,11607
25.02.2022;1,11888
28.02.2022;1,13939
01.03.2022;1,12694
02.03.2022;1,13012
03.03.2022;1,12285
04.03.2022;1,09909
07.03.2022;1,09365
08.03.2022;1,06594
09.03.2022;1,09878
10.03.2022;1,10513
11.03.2022;1,11316
14.03.2022;1,11047
15.03.2022;1,09323
16.03.2022;1,0984
17.03.2022;1,10421
18.03.2022;1,10582
21.03.2022;1,10769
22.03.2022;1,09028
23.03.2022;1,12243
24.03.2022;1,11397
25.03.2022;1,08757
28.03.2022;1,10261
29.03.2022;1,09403
30.03.2022;1,1163
31.03.2022;1,11552
01.04.2022;1,09803
04.04.2022;1,12838
05.04.2022;1,09481
06.04.2022;1,06391
07.04.2022;1,1037
08.04.2022;1,08135
11.04.2022;1,10641
12.04.2022;1,088
13.04.2022;1,08067
14.04.2022;1,11909
18.04.2022;1,07396
19.04.2022;1,08906
20.04.2022;1,05463
21.04.2022;1,08851
22.04.2022;1,09589
25.04.2022;1,07262
26.04.2022;1,06439
27.04.2022;1,07145
28.04.2022;1,03293
29.04.2022;1,06635
02.05.2022;1,05593
03.05.2022;1,04647
04.05.2022;1,07033
05.05.2022;1,08641
